CPT Code,Description
01820,"Anesthesia for all closed procedures on radius, ulna, wrist, or hand bones"
01829,Anesthesia for diagnostic arthroscopic procedures on the wrist
0182U,"Cromer blood group red cell antigen genotyping (CROM), CD55 molecule (Cromer blood group) (CD55) gene analysis of exons 1-10"
01830,"Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; not otherwise specified"
01832,"Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; total wrist replacement"
0183U,"Diego blood group red cell antigen genotyping (DI), solute carrier family 4 member 1 (Diego blood group) (SLC4A1) gene analysis of exon 19"
01840,"Anesthesia for procedures on arteries of forearm, wrist, and hand; not otherwise specified"
01842,"Anesthesia for procedures on arteries of forearm, wrist, and hand; embolectomy"
01844,"Anesthesia for vascular shunt, or shunt revision, any type (eg, dialysis)"
0184T,Removal of rectal tumor using an endoscope
0184U,"Dombrock blood group red cell antigen genotyping (DO), ADP-ribosyltransferase 4 (Dombrock blood group) (ART4) gene analysis of exon 2"
01850,Anesthesia for procedure on vein of forearm
01852,Anesthesia for phleborrhaphy of upper extremity
0185U,"H blood group red cell antigen genotyping (FUT1), fucosyltransferase 1 (H blood group) (FUT1) gene analysis of exon 4"
01860,"Anesthesia for forearm, wrist, or hand cast application, removal, or repair"
0186U,"H blood group red cell antigen genotyping (FUT2), fucosyltransferase 2 (H blood group) (FUT2) gene analysis of exon 2"
0187U,"Duffy blood group red cell antigen genotyping (FY), atypical chemokine receptor 1 (Duffy blood group) (ACKR1) gene analysis of exons 1-2"
0188U,"Gerbich blood group red cell antigen genotyping (GE), glycophorin C (Gerbich blood group) (GYPC) gene analysis of exons 1-4"
0189U,"MNS blood group blood group red cell antigen genotyping (GYPA), glycophorin A (MNS blood group) (GYPA) gene analysis of introns 1, 5, exon 2"
0190U,"MNS blood group blood group red cell antigen genotyping (GYPB), glycophorin B (MNS blood group) (GYPB) gene analysis of introns 1, 5, pseudoexon 3"
01916,Anesthesia for diagnostic arteriography/venography
0191T,Internal insertion of eye fluid drainage device
0191U,"Indian blood group red cell antigen genotyping (IN), CD44 molecule (Indian blood group) (CD44) gene analysis of exons 2, 3, 6"
01920,Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter)
01922,Anesthesia for non-invasive imaging or radiation therapy
01924,Anesthesia for therapeutic interventional radiological procedures involving the arterial system; not otherwise specified
01925,Anesthesia for therapeutic interventional radiological procedures involving the arterial system; carotid or coronary
01926,"Anesthesia for therapeutic interventional radiological procedures involving the arterial system; intracranial, intracardiac, or aortic"
0192U,"Kidd blood group red cell antigen genotyping (JK), solute carrier family 14 member 1 (Kidd blood group) (SLC14A1) gene analysis of exon 9"
01930,Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); not otherwise specified
01931,"Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrahepatic or portal circulation (eg, transvenous intrahepatic portosystemic shunt[s] [TIPS])"
01932,Anesthesia for intrathoracic venous therapeutic interventional radiological procedure
01933,Anesthesia for intracranial venous therapeutic interventional radiological procedure
01935,Anesthesia for percutaneous image guided procedures on the spine and spinal cord; diagnostic
01936,Anesthesia for percutaneous image guided procedures on the spine and spinal cord; therapeutic
01937,"Anesthesia for percutaneous image-guided injection, drainage or aspiration procedures on the spine or spinal cord; cervical or thoracic"
01938,"Anesthesia for percutaneous image-guided injection, drainage or aspiration procedures on the spine or spinal cord; lumbar or sacral"
01939,Anesthesia for percutaneous image-guided destruction procedures by neurolytic agent on the spine or spinal cord; cervical or thoracic
0193U,"JR blood group red cell antigen genotyping (JR), ATP binding cassette subfamily G member 2 (Junior blood group) (ABCG2) gene analysis of exons 2-26"
01940,Anesthesia for percutaneous image-guided destruction procedures by neurolytic agent on the spine or spinal cord; lumbar or sacral
01941,"Anesthesia for percutaneous image-guided neuromodulation or intravertebral procedures (eg, kyphoplasty, vertebroplasty) on the spine or spinal cord; cervical or thoracic"
01942,"Anesthesia for percutaneous image-guided neuromodulation or intravertebral procedures (eg, kyphoplasty, vertebroplasty) on the spine or spinal cord; lumbar or sacral"
0194U,"Kell blood group red cell antigen genotyping (KEL), Kell metallo-endopeptidase (Kell blood group) (KEL) gene analysis of exon 8"
01951,"Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; less than 4% total body surface area"
01952,"Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; between 4% and 9% of total body surface area"
01953,Anesthesia for second and third degree burn debridement
01958,Anesthesia for external cephalic version procedure
0195U,Kruppel-like factor 1 (KLF1) gene analysis of targeted sequence
01960,Anesthesia for vaginal delivery
01961,Anesthesia for cesarean delivery only
01962,Anesthesia for hysterectomy
01963,Anesthesia for cesarean hysterectomy without any labor analgesia/anesthesia care
01965,Anesthesia for incomplete or missed abortion procedures
01966,Anesthesia for induced abortion procedures
01967,Neuraxial labor analgesia/anesthesia for planned vaginal delivery (this includes any repeat subarachnoid needle placement and drug injection and/or any necessary replacement of an epidural catheter during labor)
01968,Anesthesia for cesarean delivery after neuraxial nerve analgesia
01969,Anesthesia for cesarean hysterectomy after neuraxial nerve analgesia
0196U,"Lutheran blood group red cell antigen genotyping (LU), basal cell adhesion molecule (Lutheran blood group) (BCAM) gene analysis of exon 3"
0197U,"Landsteiner-Wiener blood group red cell antigen genotyping (LW), intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) (ICAM4) gene analysis of exon 1"
0198T,Measurement of eye blood flow by repeated eyeball pressure assessment
0198U,"RH blood group red cell antigen genotyping (RHD and RHCE), Rh blood group D antigen (RHD) Sanger/chain termination/conventional sequencing of exons 1-10 and Rh blood group CcEe antigens (RHCE) exon 5"
01990,Physiological support for harvesting of organ(s) from brain-dead patient
01991,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different physician or other qualified health care professional); other than the prone position
01992,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different physician or other qualified health care professional); prone position
01996,Daily hospital management of epidural continuous drug administration
01999,Unlisted anesthesia procedure(s)
0199U,"Scianna blood group red cell antigen genotyping (SC), erythroblast membrane associated protein (Scianna blood group) (ERMAP) gene analysis of exons 4, 12"
0200T,"Injections of one side of sacrum for enlargement, 1 or more needles, accessed through the skin"
0200U,"Kx blood group red cell antigen genotyping (XK), X-linked Kx blood group) (XK) gene analysis of exons 1-3"
0201T,"Injections of both sides of sacrum for enlargement, 2 or more needles, accessed through the skin"
0201U,"Yt blood group red cell antigen genotyping (YT), (Acetylcholinesterase (Cartwright blood group) (ACHE) gene analysis of exon 2"
0202T,Fusion of spinal facet joints using imaging guidance
0202U,"Detection of pathogen-specific nucleic acid in nasopharyngeal swab specimen by qualitative real-time polymerase chain reaction (RT-PCR), 22 targets including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), each pathogen reported as detected or not detected"
0203U,"mRNA gene expression profiling by quantitative real-time polymerase chain reaction (RT-PCR), 17 genes (15 target and 2 reference genes) in whole blood specimen, reported as continuous risk score and classification of inflammatory bowel disease aggressiveness"
0204U,"mRNA gene expression analysis of 593 genes (including BRAF, RAS, RET, PAX8, and NTRK) for sequence variants and rearrangements in fine needle aspirate thyroid specimen, reported as detected or not detected"
0205U,"Gene analysis of 3 gene variants (2 CFH gene, 1 ARMS2 gene), using polymerase chain reaction (PCR) and matrix-assisted laser desorption ionization time of flight (MALDI-TOF) in buccal swab specimen, reported as positive or negative for neovascular age-related macular-degeneration risk associated with zinc supplements"
0206U,"Cell aggregation using morphometric imaging and protein kinase C-epsilon (PKCe) concentration in response to amylospheroid treatment by enzyme-linked immunosorbent assay (ELISA), in cultured skin fibroblasts, each reported as positive or negative for Alzheimer disease"
0207T,Drainage of one eyelid glands using heat and pressure
0207U,"Quantitative imaging of phosphorylated ERK1 and ERK2 in response to bradykinin treatment by in situ immunofluorescence, using cultured skin fibroblasts, reported as probability index for Alzheimer disease"
0208T,Pure tone air hearing test
0208U,"mRNA,gene expression analysis of 108 genes in fine needle aspirate thyroid specimen, algorithm reported as positive or negative for medullary thyroid carcinoma"
0209T,Pure tone air and bone hearing test
0209U,"Cytogenomic constitutional analysis with interrogation of genomic regions for copy number, structural changes and areas of homozygosity for chromosomal abnormalities"
0210T,Speech threshold hearing test
0210U,Syphilis test by detection of non-treponemal antibody by immunoassay using rapid plasma reagin (RPR)
0211T,Speech recognition hearing test
0211U,"Next-generation DNA and RNA sequencing in tissue specimen, interpretative report for single nucleotide variants, copy number alterations, tumor mutational burden, and microsatellite instability, with therapy association"
0212T,Speech threshold and recognition hearing test
0212U,"Whole genome and mitochondrial DNA sequence analysis for rare disease, including small sequence changes, deletions, duplications, short tandem repeat gene expansions, and variants in non-uniquely mappable regions, in blood sample from proband"
0213T,Injections of upper or middle spine joint or nerves using ultrasound guidance
0213U,"Whole genome and mitochondrial DNA sequence analysis for rare disease, including small sequence changes, deletions, duplications, short tandem repeat gene expansions, and variants in non-uniquely mappable regions, in comparator blood sample from parent of proband"
0214T,Injections of upper or middle spine joint or nerves using ultrasound guidance
0214U,"Whole exome and mitochondrial DNA sequence analysis for rare disease, including small sequence changes, deletions, duplications, short tandem repeat gene expansions, and variants in non-uniquely mappable regions, in blood sample from proband"
0215T,Injections of upper or middle spine joint or nerves using imaging guidance
0215U,"Whole exome and mitochondrial DNA sequence analysis for rare disease, including small sequence changes, deletions, duplications, short tandem repeat gene expansions, and variants in non-uniquely mappable regions, in blood sample from parent of proband"
0216T,Injections of lower or sacral spine joint or nerves using ultrasound guidance
0216U,"Genomic DNA sequence of 12 common genes associated with inherited ataxia, including small sequence changes, deletions, duplications, short tandem repeat gene expansions, and variants in non-uniquely mappable regions, in blood specimen, with identification and categorization of genetic variants"
0217T,Injections of lower or sacral spine joint or nerves using ultrasound guidance
0217U,"Genomic DNA sequence of 51 genes associated with inherited ataxia, including small sequence changes, deletions, duplications, short tandem repeat gene expansions, and variants in non-uniquely mappable regions, in blood specimen, with identification and categorization of genetic variants"
0218T,Injections of lower or sacral spine joint or nerves using imaging guidance
0218U,"Duschenne muscular dystrophy (DMD gene sequence analysis, including small sequence changes, deletions, duplications, short tandem repeat gene expansions, and variants in non-uniquely mappable regions, in blood specimen, with identification and categorization of genetic variants"
0219T,Insertion of upper spine facet joint implants
0219U,"Targeted next-generation protease (PR), reverse transcriptase (RT), integrase (INT) sequence analysis of human immunodeficiency virus, algorithm reported as prediction of antiviral drug susceptibility"
0220T,Insertion of middle spine facet joint implants
0220U,"Image analysis of breast cancer with artificial intelligence assessment of 12 histologic and immunohistochemical features, reported as recurrence score"
0221T,Insertion of lower spine facet joint implants
0221U,"ABO blood group red cell antigen genotyping, ABO alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase (ABO) next-generation sequencing"
0222T,Insertion of spinal facet joint implants
0222U,"RH blood group red cell antigen genotyping (RHD and RHCE), next-generation sequencing of RH proximal promoter, exons 1-10, portions of introns 2-3"
0223U,"Detection of respiratory tract pathogen nucleic acid in nasopharyngeal swab specimen by qualitative real-time polymerase chain reaction (TR-PCR), 22 targets including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), each pathogen reported as detected or not detected"
0224U,Measurement of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) antibody
0225U,"Detection of respiratory disease infectious agent DNA and RNA, 21 targets including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by amplified probe technique with multiplex reverse transcription for RNA targets, reported as detected or not detected"
0226U,Surrogate viral neutralization test (sVNT) for detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) antibodies in plasma specimen by enzyme-linked immunosorbent assay (ELISA)
0228T,Injections of anesthetic agent and/or steroid into upper or middle spinal canal using ultrasound guidance
0229T,Injections of anesthetic agent and/or steroid into upper or middle spinal canal using ultrasound guidance
0230T,Injections of anesthetic agent and/or steroid into lower or sacral spinal canal using ultrasound guidance
0231T,Injections of anesthetic agent and/or steroid into lower or sacral spinal canal using ultrasound guidance
0232T,Harvest and injections of platelet rich plasma using imaging guidance
0234T,"Catheter removal of plaque from kidney artery, accessed through the skin or open procedure including radiological supervision and interpretation"
0235T,"Catheter removal of plaque from organ artery, accessed through the skin or open procedure including radiological supervision and interpretation"
0236T,Open or percutaneous catheter removal of plaque from abdominal aorta including radiological supervision and interpretation
0237T,"Catheter removal of plaque from upper arm artery, accessed through the skin or open procedure including radiological supervision and interpretation"
0238T,"Catheter removal of plaque from groin artery, accessed through the skin or open procedure including radiological supervision and interpretation"
0253T,Insertion of eye fluid drainage device
0263T,Multiple injections of patient-derived bone marrow cells into a muscle of one leg including bone marrow harvest
0264T,Multiple injections of patient-derived bone marrow cells into a muscle of one leg
0265T,Harvest of patient-derived bone marrow cells for multiple injections into a muscle of one leg
0266T,Insertion or replacement of carotid sinus baroreflex activation device
0267T,Implantation or replacement of carotid sinus baroreflex activation device lead on one side
0268T,Implantation or replacement of carotid sinus baroreflex activation device pulse generator
0269T,Revision or removal of carotid sinus baroreflex activation device
0270T,Revision or removal of carotid sinus baroreflex activation device lead on one side
0271T,Revision or removal of carotid sinus baroreflex activation device pulse generator
0272T,Interrogation device evaluation (in person) carotid sinus baroreflex activation system
0273T,Interrogation device evaluation (in person) carotid sinus baroreflex activation system
0274T,"Removal of bone from upper or middle spine for decompression of nerve tissue using imaging guidance, accessed through the skin"
0275T,"Removal of bone from lower spine for decompression of nerve tissue using imaging guidance, accessed through the skin"
0278T,Transcutaneous electrical modulation pain reprocessing each treatment session
0290T,Corneal incisions in the recipient cornea created using a laser in preparation for penetrating or lamellar keratoplasty
0295T,"External EKG recording for more than 48 hours up to 21 days with analysis, report, review and interpretation"
0296T,External EKG recording for more than 48 hours up to 21 days
0297T,Analysis and report of external EKG recording for more than 48 hours up to 21 days
0298T,Review and interpretation of external EKG recording for more than 48 hours up to 21 days
0308T,Insertion of prosthetic telescope in eye for the treatment of central vision
0312T,Implantation of neurostimulator electrodes and pulse generator for vagus nerve blocking therapy for obesity using an endoscope
0313T,Revision or replacement of neurostimulator electrodes for vagus nerve blocking therapy for obesity using an endoscope
0314T,Removal of neurostimulator electrodes and pulse generator for vagus nerve blocking therapy for obesity using an endoscope
0315T,Removal of pulse generator for vagus nerve blocking therapy for treatment of obesity
0316T,Replacement of pulse generator for vagus nerve blocking therapy for treatment of obesity
0317T,Pulse generator analysis of a vagus nerve blocking therapy system for treatment of obesity
0329T,"Monitoring of pressure in eyes, 24 hours or longer"
0330T,Tear film imaging of one or both eyes
0331T,Imaging of heart muscle
0332T,Imaging of heart muscle with SPECT
0333T,Automated screening of visual acuity
0335T,Insertion of implant into subtalar (below ankle) foot joint
0338T,Destruction of nerves of arteries of both kidneys accessed through the skin with fluoroscopy and radiological supervision and interpretation
0339T,Destruction of nerves of arteries of one kidney accessed through the skin with fluoroscopy and radiological supervision and interpretation
0342T,Mechanical separation and reinfusion of platelet cells from blood
0345T,Replacement of aortic valve accessed through the skin
0347T,Insertion of devices in bone for visualization and measurement using radiostereometric analysis (RSA)
0348T,X-ray of spine with radiostereometric analysis (RSA)
0349T,X-ray of arms with radiostereometric analysis (RSA)
0350T,X-ray of legs with radiostereometric analysis (RSA)
0351T,Intraoperative tomography of breast or lymph nodes or tissue
0352T,Interpretation and report of tomography of breast or lymph nodes or tissue
0353T,Intraoperative tomography of breast
0354T,Interpretation and report of intraoperative tomography of breast
0355T,X-ray of large bowel with interpretation and report
0356T,Insertion of drug delivery implant into tear ducts
0358T,Whole body composition tissue and fluid measurements with interpretation and report
0362T,"Behavior identification supporting assessment for patient exhibiting destructive behavior, each 15 minutes of technicians' face-to-face time"
0373T,"Adaptive behavior treatment with protocol modification for patient exhibiting destructive behavior, each 15 minutes of technicians' face-to-face time"
0376T,Insertion of eye drainage device
0378T,Assessment of field of vision with concurrent data analysis and data storage with patient initiated data transmitted to a remote surveillance center for up to 30 days
0379T,Technical component for assessment of field of vision with concurrent data analysis and data storage with patient initiated data transmitted to a remote surveillance center for up to 30 days
0381T,"Measurement and recording of heart rate to assess changes in heart rate and monitor motion analysis for the diagnosis of epileptic seizure with review, reporting and interpretation"
0382T,Measurement and recording of heart rate to assess changes in heart rate and monitor motion analysis for the diagnosis of epileptic seizure with review and interpretation
0383T,Measurement and recording of heart rate to assess changes in heart rate and monitor motion analysis for the diagnosis of epileptic seizure with review reporting and interpretation
0384T,Measurement and recording of heart rate to assess changes in heart rate and monitor motion analysis for the diagnosis of epileptic seizure with review and interpretation
0385T,"Measurement and recording of heart rate to assess changes in heart rate and monitor motion analysis for the diagnosis of epileptic seizure with review, reporting and interpretation"
0386T,Measurement and recording of heart rate to assess changes in heart rate and monitor motion analysis for the diagnosis of epileptic seizure with review and interpretation
0394T,High dose rate electronic brachytherapy
0395T,High dose rate electronic brachytherapy
0396T,Intra-operative use of kinetic balance sensor for joint implant stability during knee replacement surgery
0397T,"Diagnostic examination of gallbladder and pancreatic, liver, and bile ducts using an endoscope"
0398T,Destruction of tissue of brain using MRI guidance
0400T,"Digital analysis of unusual pigmented lesions of skin for detection of melanoma, one to five lesions"
0401T,"Digital analysis of unusual pigmented lesions of skin for detection of melanoma, six or more lesions"
0402T,Collagen cross-linking treatment of disease of cornea
0403T,"Health and behavior intervention for prevention of diabetes, minimum 60 minutes, per day"
0404T,Destruction of growths in uterus with ultrasound guidance using an endoscope
0405T,Supervision of patient with extracorporeal liver assist system
0408T,Insertion or replacement of pulse generator and electrodes of heart contractility modulator system
0409T,Insertion or replacement of pulse generator of heart contractility modulator system
0410T,Insertion or replacement of electrodes in upper chamber of heart for heart contractility modulator system
0411T,Insertion or replacement of electrodes in lower chamber of heart for heart contractility modulator system
0412T,Removal of pulse generator for heart contractility modulator system
0413T,Removal of electrode for heart contractility modulator system
0414T,Replacement of pulse generator of heart contractility modulator system
0415T,Repositioning of electrode of heart contractility modulator system
0416T,Relocation of skin pocket for pulse generator of heart contractility modulator system
0417T,Programming evaluation of heart contractility modulator system
0418T,Interrogation evaluation of heart contractility modulator system
0419T,Destruction of more than 50 neurofibromas of skin of head and neck
0420T,Destruction of more than 100 neurofibromas of skin of head and neck
0421T,Waterjet destruction of prostrate accessed through the urethra
0422T,Tactile imaging of one or both breasts
0423T,Secretory type II phospholipase A2 (sPLA2-IIA) level
0424T,Insertion or replacement of complete neurostimulator system for treatment of central sleep apnea
0425T,Insertion or replacement of complete neurostimulator system for treatment of central sleep apnea
0426T,Insertion or replacement of stimulation lead of neurostimulator system for treatment of central sleep apnea
0427T,Insertion or replacement of pulse generator of neurostimulator system for treatment of central sleep apnea
0428T,Removal of pulse generator of neurostimulator system for treatment of central sleep apnea
0429T,Removal of sensing lead of neurostimulator system for treatment of central sleep apnea
0430T,Removal of stimulating lead of neurostimulator system for treatment of central sleep apnea
0431T,Replacement of pulse generator of neurostimulator system for treatment of central sleep apnea
0432T,Repositioning of stimulating lead of neurostimulator system for treatment of central sleep apnea
0433T,Repositioning of sensing lead of neurostimulator system for treatment of central sleep apnea
0434T,Interrogation evaluation of implanted neurostimulator pulse generator system for central sleep apnea
0435T,Programming evaluation of implanted neurostimulator pulse generator system for central sleep apnea in one session
0436T,Programming evaluation of implanted neurostimulator pulse generator system for central sleep apnea during sleep study
0437T,Reinforcement of fascia of abdominal wall with synthetic implant
0439T,Ultrasound of heart with injection of X-ray contrast material performed during rest or stress for assessment of heart muscle
0440T,"Freezing destruction of nerve in arm, accessed through the skin, using imaging guidance"
0441T,"Freezing destruction of nerve in leg, accessed through the skin, using imaging guidance"
0442T,"Freezing destruction of nerve plexus, accessed through the skin, using imaging guidance"
0443T,Real time analysis of prostate tissue using fluorescence spectroscopy
0444T,Initial insertion of drug-releasing implant under one or both eyelids
0445T,Replacement of drug-releasing implant under one or both eyelids
0446T,"Creation of skin pocket and insertion of glucose sensor, with patient training"
0447T,Removal of glucose sensor from skin pocket
0448T,Removal of glucose sensor from skin pocket with creation of new skin pocket and insertion of new glucose sensor
0449T,Insertion of aqueous fluid drainage device into eye
0450T,Insertion of aqueous fluid drainage device into eye
0451T,Insertion or replacement of complete lower heart chamber assist system
0452T,Insertion or replacement of lower heart chamber assist system part
0453T,Insertion or replacement of lower heart chamber assist system skin interface
0454T,Insertion or replacement of lower heart chamber assist system part
0455T,Removal of complete lower heart chamber assist system
0456T,Removal of lower heart chamber assist system part
0457T,Removal of lower heart chamber assist system skin interface
0458T,Removal of lower heart chamber assist system electrode from under skin
0459T,Replacement of skin interface and electrodes of lower heart chamber assist system into new skin pocket
0460T,Repositioning of lower heart chamber assist system electrode under skin
0461T,Repositioning of lower heart chamber assist system part
0462T,"Programming device evaluation of lower heart chamber assist system, per day"
0463T,"Interrogation device evaluation of lower heart chamber assist system, per day"
0464T,Measurement and recording of nerve conduction patterns using visually-evoked stimulation for glaucoma testing
0465T,Injection of medication into space above choroid membrane of eye
0466T,Insertion of breathing sensor electrode or electrode array into chest wall
0467T,Revision or replacement of breathing sensor electrode or electrode array in chest wall
0468T,Removal of breathing sensor electrode or electrode array from chest wall
0469T,Screening of both eyes by retinal polarization scan
0470T,OCT scan of skin lesion with interpretation and report
0471T,OCT scan of skin lesion with interpretation and report
0472T,"Evaluation and initial programming of retinal prosthesis with patient training, review and report"
0473T,"Evaluation and reprogramming of retinal prosthesis with patient training, review and report"
0474T,Insertion of drainage device and creation of fluid reservoir in front chamber of eye
0475T,Recording of fetal magnetic heart signal with technical analysis and interpretation of report
0476T,Recording of fetal magnetic heart signal with electronic signal transfer of data and storage
0477T,"Recording of fetal magnetic heart signal with signal extraction, technical analysis, and result"
0478T,Recording of fetal magnetic heart signal with review and interpretation of report
0479T,Laser destruction of scar tissue
0480T,Laser destruction of scar tissue
0481T,Injection of patient's own white blood cell concentrate
0483T,"Insertion of artificial valve between left heart chambers, accessed through the skin"
0484T,"Insertion of artificial valve between left heart chambers, open chest procedure"
0485T,OCT scan of one ear
0486T,OCT scan of both ears
0487T,Biomechanical mapping accessed through the vagina
0488T,Online/electronic program for prevention of diabetes using standardized diabetes prevention program curriculum
0489T,Harvesting and preparation of patient's own fat cells for cell therapy for scleroderma of hands
0490T,Cell therapy for scleroderma of hands using patient's own fat cells
0491T,Laser treatment of open wound
0492T,Laser treatment of open wound
0493T,Near-infrared spectroscopy of leg wound
0494T,Preparation and storage of donor lung
0495T,Initiation and monitoring of circulation in donor lung
0496T,Initiation and monitoring of circulation in donor lung
0497T,Connection of external patient-activated EKG event recorder
0498T,Review and interpretation of external patient-activated EKG event recordings
0499T,Examination of bladder and urethra with mechanical dilation and drug delivery for narrowing of urethra using an endoscope
0500F,"Initial prenatal care visit (report at first prenatal encounter with health care professional providing obstetrical care. Report also date of visit and, in a separate field, the date of the last menstrual period [LMP]) (Prenatal)"
0500T,Infectious agent detection by nucleic acid (DNA or RNA); human papillomavirus (HPV)
0501F,"Prenatal flow sheet documented in medical record by first prenatal visit (documentation includes at minimum blood pressure, weight, urine protein, uterine size, fetal heart tones, and estimated date of delivery). Report also: date of visit and, in a separate field, the date of the last menstrual period [LMP] (Note: If reporting 0501F Prenatal flow sheet, it is not necessary to report 0500F Initial prenatal care visit) (Prenatal)"
0501T,"Analysis of data from CT study of heart blood vessels to assess severity of heart artery disease, with interpretation and report"
0502F,"Subsequent prenatal care visit (Prenatal) [Excludes: patients who are seen for a condition unrelated to pregnancy or prenatal care (eg, an upper respiratory infection; patients seen for consultation only, not for continuing care)]"
0502T,Analysis of data from CT study of heart blood vessels to assess severity of heart artery disease
0503F,Postpartum care visit (Prenatal)
0503T,Analysis of data from CT study of heart blood vessels to assess severity of heart artery disease
0504T,Analysis of data from CT study of heart blood vessels to assess severity of heart artery disease
0505F,"Hemodialysis plan of care documented (ESRD, P-ESRD)"
0505T,Reopening of arteries in thigh and behind knee with placement of stent via catheter using imaging guidance
0506T,Measurement of pigment density in retinas with interpretation and report
0507F,Peritoneal dialysis plan of care documented (ESRD)
0507T,Near infrared dual imaging of tear glands with interpretation and report
0508T,Ultrasound measurement of bone density in shin bone
0509F,Urinary incontinence plan of care documented (GER)
0509T,Pattern recording of retinal electrical responses to external stimuli with interpretation and report
0510T,Removal of implant from tunnel on outer side of foot (sinus tarsi)
0511T,Removal and reinsertion of implant from tunnel on outer side of foot (sinus tarsi)
0512T,High energy shock wave therapy for initial wound of outer body surface
0513F,Elevated blood pressure plan of care documented (CKD)
0513T,High energy shock wave therapy for additional wound of outer body surface
0514F,Plan of care for elevated hemoglobin level documented for patient receiving Erythropoiesis-Stimulating Agent therapy (ESA) (CKD)
0514T,Visual axis identification using patient fixation during operation
0515T,Insertion of complete wireless heart stimulator system for pacing of lower left chamber of heart
0516F,Anemia plan of care documented (ESRD)
0516T,Insertion of electrode of wireless heart stimulator system for pacing of lower left chamber of heart
0517F,Glaucoma plan of care documented (EC)
0517T,Insertion of pulse generator components of wireless heart stimulator system for pacing of lower left chamber of heart
0518F,Falls plan of care documented (GER)
0518T,Removal of pulse generator components of wireless heart stimulator system for pacing of lower left chamber of heart
0519F,"Planned chemotherapy regimen, including at a minimum: drug(s) prescribed, dose, and duration, documented prior to initiation of a new treatment regimen (ONC)"
0519T,Removal and replacement of pulse generator components of wireless heart stimulator system for pacing of lower left chamber of heart
0520F,Radiation dose limits to normal tissues established prior to the initiation of a course of 3D conformal radiation for a minimum of 2 tissue/organ (ONC)
0520T,"Removal and replacement of pulse generator components of wireless heart stimulator system for pacing of lower left chamber of heart, with placement of new electrode"
0521F,Plan of care to address pain documented (COA) (ONC)
0521T,"Evaluation of parameters of wireless heart stimulator system for pacing of lower left chamber of heart including connection, recording, disconnection, and analysis"
0522T,"Evaluation, testing, and programming adjustment of wireless heart stimulator system for pacing of lower left chamber of heart with qualified health care professional analysis, review, and report"
0523T,Measurement fractional flow reserve in arteries of heart with 3D functional mapping during procedure
0524T,Chemical destruction of insufficient vein of arm or leg via catheter using imaging guidance
0525F,Initial visit for episode (BkP)
0525T,Insertion or replacement of complete monitoring system for deficient blood flow in heart muscle using imaging guidance
0526F,Subsequent visit for episode (BkP)
0526T,Insertion or replacement of electrode of monitoring system for deficient blood flow in heart muscle with imaging supervision and interpretation
0527T,Insertion or replacement of implantable monitor of monitoring system for deficient blood flow in heart muscle with imaging supervision and interpretation
0528F,Recommended follow-up interval for repeat colonoscopy of at least 10 years documented in colonoscopy report (End/Polyp)
0528T,"Evaluation, testing, and programming adjustment of monitoring system for deficient blood flow in heart muscle with analysis, review, and report"
0529F,"Interval of 3 or more years since patient's last colonoscopy, documented (End/Polyp)"
0529T,"Evaluation of parameters of monitoring system for deficient blood flow in heart muscle with analysis, review, and report"
0530T,Removal of complete monitoring system for deficient blood flow in heart muscle with imaging supervision and interpretation
0531T,Removal of electrode of monitoring system for deficient blood flow in heart muscle with imaging supervision and interpretation
0532T,Removal of implantable monitor of monitoring system for deficient blood flow in heart muscle with imaging supervision and interpretation
0533T,"Continuous recording of movement disorder symptoms for 8-10 days with set-up, patient training, configuration of monitor, upload of data , analysis and initial report configuration, download of review, interpretation and report"
0534T,"Continuous recording of movement disorder symptoms for 8-10 days with set-up, patient training, configuration of monitor"
0535F,"Dyspnea management plan of care, documented (Pall Cr)"
0535T,"Continuous recording of movement disorder symptoms for 8-10 days with data upload, analysis and initial report configuration"
0536T,"Continuous recording of movement disorder symptoms for 8-10 days with download of review, interpretation and report"
0537T,"Harvesting of blood-derived T white blood cells (T lymphocytes) for chimeric antigen receptor T-cell therapy, per day"
0538T,Preparation of blood-derived T white blood cells (T lymphocytes) for transportation for chimeric antigen receptor T-cell therapy
